역번호,역명,구분,카이제곱통계량,P값,자유도,지하철 기대 빈도,버스 기대 빈도,동일 여부
211,성수,하차,0.18396950828228287,0.9999999999999999,19,"[0.01727557 0.02475554 0.0430235  0.1191416  0.08042535 0.06844451
 0.05302254 0.0481972  0.05075295 0.05163577 0.05523621 0.0582488
 0.06408175 0.07281871 0.05591216 0.04021832 0.03648754 0.03089418
 0.01920641 0.01022138]","[0.01675363 0.02400763 0.04172367 0.11554208 0.07799553 0.06637666
 0.05142062 0.04674106 0.0492196  0.05007575 0.05356741 0.05648898
 0.06214571 0.07061871 0.05422293 0.03900324 0.03538517 0.02996081
 0.01862614 0.00991257]",동일
212,건대입구,승차,0.021282220173551178,1.0,19,"[0.01656438 0.020964   0.04433456 0.06815072 0.05401145 0.0453052
 0.04091125 0.04303727 0.04670258 0.04861471 0.05391933 0.0605744
 0.06931217 0.08257129 0.06487411 0.06072695 0.05984344 0.05936179
 0.04133151 0.01888889]","[0.01603969 0.02029994 0.04293022 0.06599198 0.05230059 0.04387012
 0.03961535 0.04167403 0.04522323 0.0470748  0.05221139 0.05865565
 0.06711665 0.07995577 0.06281917 0.05880337 0.05794784 0.05748145
 0.04002229 0.01829057]",동일
212,건대입구,하차,0.0539580634194565,1.0,19,"[0.01099228 0.01716054 0.02738383 0.05754382 0.04616707 0.04371877
 0.04365827 0.04652488 0.05137785 0.05166944 0.05637294 0.06406118
 0.07911087 0.10374057 0.08321553 0.06522479 0.05680768 0.04857324
 0.03124965 0.0154468 ]","[0.01067275 0.01666171 0.02658783 0.05587111 0.04482507 0.04244793
 0.0423892  0.04517248 0.04988438 0.05016749 0.05473428 0.06219903
 0.07681124 0.10072501 0.08079659 0.06332881 0.05515638 0.04716129
 0.03034128 0.01499779]",동일
213,구의(광진구청),승차,0.04879879988470355,1.0,19,"[0.0203764  0.03101052 0.07303036 0.11168355 0.08097852 0.06540691
 0.05343812 0.05056161 0.04954181 0.04769018 0.05115694 0.06012582
 0.06055734 0.06859011 0.05033807 0.0402269  0.03317929 0.0280234
 0.01685162 0.00723252]","[0.02002551 0.0304765  0.07177274 0.1097603  0.07958403 0.06428057
 0.05251789 0.04969091 0.04868868 0.04686894 0.05027599 0.05909043
 0.05951451 0.06740895 0.04947122 0.03953418 0.03260792 0.02754083
 0.01656143 0.00710797]",동일
213,구의(광진구청),하차,0.0786918206801592,1.0,19,"[0.00920571 0.02266084 0.03316538 0.0632711  0.04258323 0.04112321
 0.03803547 0.04083096 0.04427422 0.04629473 0.05496481 0.06392647
 0.0767182  0.10494735 0.08594108 0.0684905  0.0604734  0.05255574
 0.03388599 0.01665165]","[0.00907143 0.0223303  0.03268162 0.0623482  0.04196209 0.04052337
 0.03748067 0.04023538 0.04362841 0.04561946 0.05416307 0.06299402
 0.07559916 0.10341655 0.0846875  0.06749147 0.05959131 0.05178914
 0.03339171 0.01640876]",동일
214,강변(동서울터미널),승차,0.05527326923249676,1.0,19,"[0.01214841 0.02610049 0.06549533 0.08695631 0.07029609 0.06359879
 0.05600585 0.05502981 0.05398454 0.05142203 0.05546112 0.06131412
 0.06492091 0.07033991 0.05773784 0.04770744 0.04126681 0.03359079
 0.01851877 0.00810465]","[0.01196815 0.0257132  0.06452349 0.08566603 0.06925302 0.0626551
 0.05517482 0.05421326 0.05318351 0.05065901 0.05463817 0.06040433
 0.0639576  0.06929619 0.05688111 0.04699955 0.04065448 0.03309236
 0.01824398 0.0079844 ]",동일
214,강변(동서울터미널),하차,0.0588860506597117,1.0,19,"[0.00989142 0.02363214 0.03641702 0.0577504  0.0472146  0.04535185
 0.04351546 0.04705557 0.05095725 0.05341579 0.06153876 0.06934342
 0.07908336 0.09581852 0.07695215 0.06184859 0.0520042  0.04624304
 0.02793696 0.01402948]","[0.00977291 0.023349   0.0359807  0.05705848 0.04664891 0.04480848
 0.0429941  0.04649179 0.05034672 0.05277581 0.06080145 0.06851261
 0.07813585 0.0946705  0.07603017 0.06110757 0.05138113 0.04568899
 0.02760225 0.01386139]",동일
215,잠실나루,승차,0.06743411056535774,1.0,19,"[0.01349795 0.02639115 0.06312781 0.08157319 0.06613024 0.05739341
 0.05180884 0.05206558 0.05205704 0.05191111 0.05751342 0.06982792
 0.07671549 0.07940493 0.05911239 0.04526539 0.03806698 0.03167618
 0.01900658 0.0074544 ]","[0.01335883 0.02611915 0.06247719 0.08073246 0.06544867 0.05680189
 0.05127488 0.05152897 0.05152052 0.05137609 0.05692066 0.06910824
 0.07592482 0.07858654 0.05850315 0.04479886 0.03767464 0.03134971
 0.01881069 0.00737757]",동일
215,잠실나루,하차,0.01684669044598549,1.0,19,"[0.01094773 0.02644584 0.05237645 0.08079954 0.05985325 0.05272449
 0.04542641 0.04868156 0.05138343 0.05075966 0.05556812 0.06117211
 0.0674161  0.08182004 0.06558753 0.05297777 0.04886265 0.0445064
 0.02783036 0.01486057]","[0.01081655 0.02612898 0.0517489  0.07983144 0.05913611 0.05209276
 0.04488212 0.04809828 0.05076778 0.05015147 0.05490232 0.06043917
 0.06660835 0.08083971 0.06480169 0.05234301 0.0482772  0.04397314
 0.02749691 0.01468251]",동일
216,잠실(송파구청),승차,0.01751533988777122,1.0,19,"[0.00928048 0.02037516 0.04707597 0.06574904 0.05173209 0.04274586
 0.04021715 0.04249145 0.04527637 0.04827652 0.05640408 0.06623421
 0.07820155 0.09451448 0.07203104 0.06824119 0.06132014 0.051067
 0.02682647 0.01193974]","[0.00914297 0.02007326 0.04637844 0.06477483 0.05096557 0.04211249
 0.03962125 0.04186184 0.0446055  0.0475612  0.05556833 0.06525281
 0.07704283 0.09311404 0.07096374 0.06723005 0.06041155 0.05031033
 0.02642898 0.01176283]",동일
