역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
222,강남,승차,23시-24시,"Lognormal(normalMean=9.313, normalStdDev=0.059)","(np.float64(0.05933903415419734), -8491.243444416019, np.float64(11082.6232524556))",160,"Triangular(min=652.159, mode=1156.000, max=7469.554)","(np.float64(0.07390527795034416), np.float64(652.1585032953251), np.float64(6817.395329216266))",154,주말,3,"['mean', 'median', 'mode']"
222,강남,승차,24시-01시,"Weibull(shape=1.439, scale=269.919)","(np.float64(1.4388622086636578), np.float64(340.0946127596064), np.float64(269.91923568726907))",157,"Triangular(min=0.000, mode=1.000, max=3189.253)","(np.float64(0.000313553022570012), 0, np.float64(3189.253259920707))",131,평일,2,"['median', 'mode']"
222,강남,승차,01시-02시,"Triangular(min=163.243, mode=236.000, max=294.609)","(np.float64(0.5538514741702829), np.float64(163.2425148902169), np.float64(131.366419524509))",195,"Triangular(min=84.525, mode=333.000, max=474.402)","(np.float64(0.6373162214730659), np.float64(84.52490186079493), np.float64(389.87725366613336))",151,주말,2,"['mean', 'median']"
222,강남,승차,02시-03시,"Gamma(alpha=23999071.464, beta=0.005)","(np.float64(23999071.463651687), np.float64(-122698.54103350925), np.float64(0.00512161232990023))",194,"Triangular(min=70.847, mode=320.000, max=446.182)","(np.float64(0.6638150142221669), np.float64(70.84720594337497), np.float64(375.33467713994514))",152,주말,3,"['mean', 'median', 'mode']"
222,강남,승차,03시-04시,"Triangular(min=118.290, mode=165.000, max=207.924)","(np.float64(0.521119210955254), np.float64(118.28997679697346), np.float64(89.63404570899036))",193,"Triangular(min=55.092, mode=233.000, max=347.988)","(np.float64(0.6074102639385615), np.float64(55.0917602605495), np.float64(292.8962912559434))",152,주말,3,"['mean', 'median', 'mode']"
222,강남,승차,04시-05시,"Triangular(min=58.987, mode=83.000, max=110.117)","(np.float64(0.46964384906369405), np.float64(58.98736174133563), np.float64(51.12946401119916))",195,"Triangular(min=27.272, mode=121.000, max=181.406)","(np.float64(0.6080944990171526), np.float64(27.271763126435292), np.float64(154.13432783292836))",154,주말,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,05시-06시,"Normal(mean=92.575, stdDev=8.689)","(np.float64(92.5752688172043), np.float64(8.688592891436084))",186,"Weibull(shape=3.907, scale=73.797)","(np.float64(3.9069892099210537), np.float64(16.34648440919827), np.float64(73.79661028085687))",155,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,06시-07시,"Triangular(min=0.000, mode=471.000, max=526.677)","(np.float64(0.8942854374235332), 0, np.float64(526.6774792564075))",208,"Triangular(min=0.000, mode=224.000, max=534.214)","(np.float64(0.41930744643865747), 0, np.float64(534.2142191132825))",156,평일,2,"['mean', 'median']"
223,교대(법원.검찰청),승차,07시-08시,"Triangular(min=0.000, mode=1289.000, max=1310.783)","(np.float64(0.983381866096745), 0, np.float64(1310.7827634919313))",208,"Triangular(min=0.000, mode=200.000, max=366.904)","(np.float64(0.5451014199047727), 0, np.float64(366.90419929067525))",118,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,08시-09시,"Triangular(min=0.000, mode=1755.000, max=1902.446)","(np.float64(0.9224964730997633), 0, np.float64(1902.446297835563))",208,"Triangular(min=146.378, mode=256.000, max=653.352)","(np.float64(0.21622780679897588), np.float64(146.3780481086422), np.float64(506.97435041451826))",118,평일,2,"['mean', 'median']"
