역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
244,용답,하차,24시-01시,"Triangular(min=0.000, mode=45.000, max=126.657)","(np.float64(0.35528903183468485), 0, np.float64(126.65744207220371))",159,"Triangular(min=0.000, mode=1.000, max=231.025)","(np.float64(0.004328528191844921), 0, np.float64(231.02540983386763))",151,평일,2,"['median', 'mode']"
244,용답,하차,01시-02시,"Weibull(shape=2.615, scale=44.832)","(np.float64(2.6147109391257297), np.float64(115.92269209606201), np.float64(44.83156750628555))",199,"Weibull(shape=3.615, scale=125.272)","(np.float64(3.6147627688447406), np.float64(51.50463096067493), np.float64(125.27156059629536))",154,주말,2,"['mean', 'median']"
244,용답,하차,02시-03시,"Weibull(shape=3.036, scale=58.086)","(np.float64(3.0358386519962157), np.float64(129.9737025783901), np.float64(58.08562111000669))",198,"Lognormal(normalMean=15.234, normalStdDev=0.000)","(np.float64(1.0153266053638519e-05), -4130842.8702435787, np.float64(4131034.799062905))",155,주말,2,"['mean', 'median']"
244,용답,하차,03시-04시,"Triangular(min=95.797, mode=149.000, max=182.257)","(np.float64(0.6153439363794327), np.float64(95.79727575880945), np.float64(86.46014215612755))",203,"Gamma(alpha=535.559, beta=1.472)","(np.float64(535.5590754760999), np.float64(-641.0854830743745), np.float64(1.4717812368274301))",155,주말,2,"['mean', 'median']"
244,용답,하차,04시-05시,"Triangular(min=83.628, mode=123.000, max=151.554)","(np.float64(0.5796253017062196), np.float64(83.62833514091312), np.float64(67.92606316538667))",200,"Triangular(min=52.800, mode=138.000, max=187.891)","(np.float64(0.6306866736697083), np.float64(52.800379599218985), np.float64(135.09024997879436))",154,주말,2,"['mean', 'median']"
245,신답,하차,05시-06시,"Gamma(alpha=14.527, beta=0.691)","(np.float64(14.526822275813462), np.float64(-1.3786205424639575), np.float64(0.6907821579056856))",192,"Weibull(shape=3.111, scale=8.030)","(np.float64(3.1112312758033123), np.float64(-0.1619031755725195), np.float64(8.029694269508235))",150,평일,2,"['mean', 'median']"
245,신답,하차,06시-07시,"Triangular(min=0.000, mode=26.000, max=38.053)","(np.float64(0.6832612237607167), 0, np.float64(38.05279612881104))",208,"Triangular(min=0.000, mode=1.000, max=35.190)","(np.float64(0.028417129448459186), 0, np.float64(35.19004273987298))",156,평일,2,"['mean', 'median']"
245,신답,하차,07시-08시,"Triangular(min=0.000, mode=43.000, max=58.350)","(np.float64(0.736926359506463), 0, np.float64(58.350470671557645))",208,"Gamma(alpha=1.646, beta=10.703)","(np.float64(1.6459673326601902), np.float64(0.7866945373313384), np.float64(10.70322124193806))",156,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,08시-09시,"Triangular(min=0.000, mode=85.000, max=114.733)","(np.float64(0.7408487240587733), 0, np.float64(114.73327448438823))",208,"Gamma(alpha=4.859, beta=3.522)","(np.float64(4.859411412431391), np.float64(2.3919218791383523), np.float64(3.5223524433098143))",118,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,09시-10시,"Weibull(shape=3.188, scale=21.948)","(np.float64(3.187523055475709), np.float64(22.36491496472771), np.float64(21.947841719341184))",194,"Weibull(shape=2.765, scale=36.076)","(np.float64(2.7647856145395475), np.float64(-1.2582183463108243), np.float64(36.07568723920608))",155,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,10시-11시,"Triangular(min=0.000, mode=85.000, max=85.000)","(np.float64(0.9999989504573081), 0, np.float64(85.0001047709786))",200,"Weibull(shape=4.016, scale=34.139)","(np.float64(4.015687911094672), np.float64(4.377235605853982), np.float64(34.138603856742705))",132,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,11시-12시,"Triangular(min=25.138, mode=44.000, max=63.992)","(np.float64(0.48546302043053113), np.float64(25.137930955052376), np.float64(38.853771116301616))",199,"Weibull(shape=3.453, scale=36.572)","(np.float64(3.45316230808652), np.float64(5.601818252048103), np.float64(36.572142192327505))",151,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,12시-13시,"Weibull(shape=2.928, scale=28.609)","(np.float64(2.927679342786256), np.float64(21.908690302286104), np.float64(28.60850517617815))",203,"Weibull(shape=3.388, scale=39.556)","(np.float64(3.388337083560997), np.float64(10.341604780668785), np.float64(39.55627420518397))",153,평일,3,"['mean', 'median', 'mode']"
