역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
206,신당,하차,14시-15시,"Triangular(min=562.956, mode=780.000, max=1061.083)",0.045811,0.909347,144,성공
206,신당,하차,15시-16시,"Weibull(shape=4.323, scale=562.364)",0.063013,0.560537,152,성공
206,신당,하차,16시-17시,"Weibull(shape=2.723, scale=587.114)",0.106257,0.057321,154,성공
206,신당,하차,17시-18시,"Triangular(min=274.852, mode=1579.000, max=1729.020)",0.228885,0.0,156,실패
206,신당,하차,18시-19시,"Triangular(min=411.203, mode=801.000, max=1635.723)",0.106353,0.12594,119,성공
206,신당,하차,19시-20시,"Triangular(min=94.841, mode=1570.000, max=1698.133)",0.286952,0.0,156,실패
206,신당,하차,20시-21시,"Weibull(shape=2.874, scale=449.749)",0.047723,0.892034,140,성공
206,신당,하차,21시-22시,"Triangular(min=355.909, mode=623.000, max=916.469)",0.055217,0.75825,142,성공
206,신당,하차,22시-23시,"Weibull(shape=2.956, scale=415.772)",0.068828,0.435479,155,성공
206,신당,하차,23시-24시,"Triangular(min=142.040, mode=454.000, max=716.959)",0.083455,0.243652,147,성공
206,신당,하차,24시-01시,"Triangular(min=0.000, mode=1.000, max=789.228)",0.370193,0.0,154,실패
206,신당,하차,01시-02시,"Weibull(shape=3.184, scale=107.804)",0.053318,0.773616,148,성공
206,신당,하차,02시-03시,"Weibull(shape=3.259, scale=125.025)",0.033296,0.994685,149,성공
206,신당,하차,03시-04시,"Weibull(shape=3.316, scale=108.437)",0.051709,0.797749,150,성공
206,신당,하차,04시-05시,"Triangular(min=45.202, mode=96.000, max=141.186)",0.051489,0.805018,149,성공
207,상왕십리,하차,05시-06시,"Weibull(shape=2.670, scale=13.401)",0.068934,0.466579,147,성공
207,상왕십리,하차,06시-07시,"Triangular(min=0.000, mode=217.000, max=285.246)",0.256394,0.0,156,실패
207,상왕십리,하차,07시-08시,"Triangular(min=14.000, mode=14.000, max=492.807)",0.242325,1e-06,125,실패
207,상왕십리,하차,08시-09시,"Lognormal(normalMean=5.496, normalStdDev=0.426)",0.116643,0.074308,118,성공
207,상왕십리,하차,09시-10시,"Weibull(shape=2.075, scale=435.755)",0.107389,0.050747,156,성공
207,상왕십리,하차,10시-11시,"Gamma(alpha=6038.071, beta=0.551)",0.045853,0.944358,125,성공
207,상왕십리,하차,11시-12시,"Triangular(min=168.179, mode=450.000, max=642.715)",0.126545,0.019282,142,실패
207,상왕십리,하차,12시-13시,"Gamma(alpha=440.902, beta=4.154)",0.086163,0.191609,154,성공
207,상왕십리,하차,13시-14시,"Triangular(min=212.790, mode=568.000, max=732.753)",0.091671,0.141163,154,성공
207,상왕십리,하차,14시-15시,"Triangular(min=303.117, mode=584.000, max=784.975)",0.056161,0.70975,150,성공
207,상왕십리,하차,15시-16시,"Gamma(alpha=1141.257, beta=3.752)",0.077426,0.309636,151,성공
207,상왕십리,하차,16시-17시,"Gamma(alpha=13.952, beta=52.684)",0.061067,0.596332,153,성공
207,상왕십리,하차,17시-18시,"Weibull(shape=1.857, scale=645.700)",0.105279,0.058484,156,성공
207,상왕십리,하차,18시-19시,"Weibull(shape=1.883, scale=309.873)",0.057336,0.807414,119,성공
207,상왕십리,하차,19시-20시,"Triangular(min=5.119, mode=1420.000, max=1589.487)",0.340899,0.0,156,실패
207,상왕십리,하차,20시-21시,"Gamma(alpha=27.001, beta=25.987)",0.084914,0.23991,143,성공
207,상왕십리,하차,21시-22시,"Weibull(shape=3.106, scale=353.571)",0.078239,0.332294,142,성공
207,상왕십리,하차,22시-23시,"Triangular(min=227.998, mode=784.000, max=947.061)",0.162068,0.000503,155,실패
207,상왕십리,하차,23시-24시,"Normal(mean=486.760, stdDev=141.792)",0.088536,0.168376,154,성공
207,상왕십리,하차,24시-01시,"Triangular(min=0.000, mode=1.000, max=801.876)",0.423381,0.0,148,실패
207,상왕십리,하차,01시-02시,"Triangular(min=22.724, mode=51.000, max=96.494)",0.073515,0.378045,149,성공
207,상왕십리,하차,02시-03시,"Weibull(shape=3.287, scale=33.565)",0.071862,0.405898,149,성공
207,상왕십리,하차,03시-04시,"Weibull(shape=3.050, scale=31.129)",0.057996,0.660309,153,성공
207,상왕십리,하차,04시-05시,"Weibull(shape=2.970, scale=19.176)",0.054765,0.730872,152,성공
208,왕십리(성동구청),하차,05시-06시,"Weibull(shape=3.882, scale=30.746)",0.085595,0.209428,150,성공
208,왕십리(성동구청),하차,06시-07시,"Triangular(min=0.000, mode=246.000, max=345.130)",0.256363,0.0,156,실패
208,왕십리(성동구청),하차,07시-08시,"Triangular(min=14.000, mode=14.000, max=533.487)",0.221895,4e-06,130,실패
208,왕십리(성동구청),하차,08시-09시,"Lognormal(normalMean=5.572, normalStdDev=0.412)",0.113592,0.087944,118,성공
208,왕십리(성동구청),하차,09시-10시,"Weibull(shape=2.754, scale=567.380)",0.091164,0.140557,156,성공
208,왕십리(성동구청),하차,10시-11시,"Triangular(min=149.752, mode=572.000, max=695.623)",0.078069,0.342971,140,성공
208,왕십리(성동구청),하차,11시-12시,"Gamma(alpha=8549.855, beta=1.290)",0.075955,0.343065,148,성공
