역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
206,신당,하차,24시-01시,"Weibull(shape=1.932, scale=79.292)",0.064924,0.513989,154,성공
206,신당,하차,01시-02시,"Weibull(shape=2.620, scale=45.462)",0.040264,0.910055,187,성공
206,신당,하차,02시-03시,"Weibull(shape=3.508, scale=72.413)",0.047325,0.75933,194,성공
206,신당,하차,03시-04시,"Triangular(min=127.834, mode=175.000, max=216.214)",0.046046,0.779988,197,성공
206,신당,하차,04시-05시,"Weibull(shape=4.328, scale=48.105)",0.052973,0.609375,200,성공
207,상왕십리,하차,05시-06시,"Weibull(shape=3.240, scale=15.377)",0.072326,0.229904,202,성공
207,상왕십리,하차,06시-07시,"Triangular(min=0.000, mode=250.000, max=314.843)",0.249987,0.0,208,실패
207,상왕십리,하차,07시-08시,"Triangular(min=0.000, mode=586.000, max=628.990)",0.247393,0.0,208,실패
207,상왕십리,하차,08시-09시,"Triangular(min=0.000, mode=1528.000, max=1528.000)",0.378416,0.0,208,실패
207,상왕십리,하차,09시-10시,"Triangular(min=430.410, mode=725.000, max=852.109)",0.147281,0.000356,196,실패
207,상왕십리,하차,10시-11시,"Normal(mean=470.216, stdDev=29.871)",0.045307,0.907937,148,성공
207,상왕십리,하차,11시-12시,"Normal(mean=435.130, stdDev=38.122)",0.062426,0.564288,154,성공
207,상왕십리,하차,12시-13시,"Weibull(shape=3.627, scale=114.102)",0.036101,0.96396,183,성공
207,상왕십리,하차,13시-14시,"Triangular(min=338.993, mode=566.000, max=674.337)",0.051277,0.637797,204,성공
207,상왕십리,하차,14시-15시,"Triangular(min=450.921, mode=575.000, max=687.692)",0.032058,0.984,196,성공
207,상왕십리,하차,15시-16시,"Triangular(min=427.446, mode=747.000, max=861.190)",0.059253,0.450597,205,성공
207,상왕십리,하차,16시-17시,"Triangular(min=376.124, mode=967.000, max=1043.028)",0.09724,0.037235,207,실패
207,상왕십리,하차,17시-18시,"Triangular(min=312.115, mode=1412.000, max=1546.706)",0.214328,0.0,208,실패
207,상왕십리,하차,18시-19시,"Triangular(min=234.767, mode=2464.000, max=2555.610)",0.375912,0.0,208,실패
207,상왕십리,하차,19시-20시,"Weibull(shape=8.820, scale=759.066)",0.061024,0.460808,190,성공
207,상왕십리,하차,20시-21시,"Normal(mean=909.808, stdDev=51.427)",0.049548,0.848304,146,성공
207,상왕십리,하차,21시-22시,"Gamma(alpha=91.668, beta=7.458)",0.054256,0.748252,150,성공
207,상왕십리,하차,22시-23시,"Weibull(shape=5.009, scale=369.046)",0.035465,0.960473,194,성공
207,상왕십리,하차,23시-24시,"Lognormal(normalMean=6.284, normalStdDev=0.149)",0.064963,0.465901,166,성공
207,상왕십리,하차,24시-01시,"Lognormal(normalMean=4.794, normalStdDev=0.335)",0.081263,0.257314,151,성공
207,상왕십리,하차,01시-02시,"Weibull(shape=2.790, scale=17.971)",0.053147,0.627236,193,성공
207,상왕십리,하차,02시-03시,"Triangular(min=19.136, mode=29.000, max=41.773)",0.060473,0.459275,194,성공
207,상왕십리,하차,03시-04시,"Weibull(shape=2.883, scale=12.058)",0.072813,0.25091,191,성공
207,상왕십리,하차,04시-05시,"Triangular(min=10.276, mode=17.000, max=23.733)",0.101697,0.032267,196,실패
208,왕십리(성동구청),하차,05시-06시,"Weibull(shape=2.857, scale=19.057)",0.07173,0.243023,200,성공
208,왕십리(성동구청),하차,06시-07시,"Triangular(min=0.000, mode=323.000, max=357.251)",0.249991,0.0,208,실패
208,왕십리(성동구청),하차,07시-08시,"Triangular(min=0.000, mode=683.000, max=683.000)",0.245061,0.0,208,실패
208,왕십리(성동구청),하차,08시-09시,"Triangular(min=0.000, mode=1375.000, max=1397.387)",0.272195,0.0,208,실패
208,왕십리(성동구청),하차,09시-10시,"Weibull(shape=16.926, scale=1128.529)",0.048115,0.758162,188,성공
208,왕십리(성동구청),하차,10시-11시,"Normal(mean=528.770, stdDev=39.796)",0.036665,0.98444,148,성공
208,왕십리(성동구청),하차,11시-12시,"Lognormal(normalMean=5.254, normalStdDev=0.358)",0.093224,0.071407,188,성공
208,왕십리(성동구청),하차,12시-13시,"Weibull(shape=3.002, scale=127.934)",0.037762,0.936189,193,성공
208,왕십리(성동구청),하차,13시-14시,"Triangular(min=453.430, mode=589.000, max=738.046)",0.057361,0.507687,200,성공
208,왕십리(성동구청),하차,14시-15시,"Weibull(shape=2.409, scale=103.276)",0.043325,0.843967,194,성공
208,왕십리(성동구청),하차,15시-16시,"Triangular(min=539.295, mode=686.000, max=780.310)",0.029311,0.994959,192,성공
208,왕십리(성동구청),하차,16시-17시,"Triangular(min=482.080, mode=844.000, max=1005.338)",0.088491,0.07469,206,성공
208,왕십리(성동구청),하차,17시-18시,"Triangular(min=379.244, mode=1345.000, max=1493.540)",0.197698,0.0,208,실패
208,왕십리(성동구청),하차,18시-19시,"Triangular(min=257.430, mode=2312.000, max=2614.039)",0.31851,0.0,208,실패
208,왕십리(성동구청),하차,19시-20시,"Triangular(min=1057.118, mode=1290.000, max=1451.942)",0.027049,0.998539,189,성공
208,왕십리(성동구청),하차,20시-21시,"Lognormal(normalMean=15.249, normalStdDev=0.000)",0.046827,0.874703,153,성공
208,왕십리(성동구청),하차,21시-22시,"Weibull(shape=4.421, scale=282.682)",0.054009,0.732146,156,성공
208,왕십리(성동구청),하차,22시-23시,"Weibull(shape=3.511, scale=244.743)",0.050051,0.684919,198,성공
208,왕십리(성동구청),하차,23시-24시,"Lognormal(normalMean=5.568, normalStdDev=0.349)",0.073742,0.238101,191,성공
208,왕십리(성동구청),하차,24시-01시,"Gamma(alpha=4.695, beta=22.292)",0.049827,0.829272,151,성공
208,왕십리(성동구청),하차,01시-02시,"Gamma(alpha=41.033, beta=0.608)",0.062187,0.408308,199,성공
208,왕십리(성동구청),하차,02시-03시,"Gamma(alpha=28.782, beta=0.572)",0.082378,0.117004,205,성공
208,왕십리(성동구청),하차,03시-04시,"Triangular(min=2.851, mode=7.000, max=12.549)",0.132089,0.001355,206,실패
