역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
206,신당,승차,12시-13시,"Weibull(shape=2.790, scale=113.234)",0.052968,0.625117,195,성공
206,신당,승차,13시-14시,"Triangular(min=509.797, mode=698.000, max=803.051)",0.052228,0.617952,203,성공
206,신당,승차,14시-15시,"Normal(mean=684.411, stdDev=36.457)",0.033575,0.978114,190,성공
206,신당,승차,15시-16시,"Triangular(min=598.164, mode=744.000, max=840.249)",0.049896,0.697417,195,성공
206,신당,승차,16시-17시,"Triangular(min=526.900, mode=919.000, max=1029.675)",0.180201,3e-06,206,실패
206,신당,승차,17시-18시,"Triangular(min=470.317, mode=1106.000, max=1293.807)",0.194563,0.0,207,실패
206,신당,승차,18시-19시,"Triangular(min=600.115, mode=1302.000, max=1387.933)",0.228107,0.0,206,실패
206,신당,승차,19시-20시,"Lognormal(normalMean=5.394, normalStdDev=0.296)",0.085169,0.169784,166,성공
206,신당,승차,20시-21시,"Weibull(shape=4.315, scale=259.425)",0.039712,0.958227,156,성공
206,신당,승차,21시-22시,"Lognormal(normalMean=6.500, normalStdDev=0.138)",0.062635,0.47569,176,성공
206,신당,승차,22시-23시,"Triangular(min=307.722, mode=529.000, max=768.486)",0.040758,0.874836,203,성공
206,신당,승차,23시-24시,"Triangular(min=73.188, mode=217.000, max=546.332)",0.207865,1e-06,171,실패
206,신당,승차,24시-01시,"Weibull(shape=6.507, scale=114.659)",0.088884,0.16002,156,성공
206,신당,승차,01시-02시,"Weibull(shape=2.590, scale=47.508)",0.045597,0.804708,191,성공
206,신당,승차,02시-03시,"Weibull(shape=4.534, scale=93.595)",0.044356,0.816396,197,성공
206,신당,승차,03시-04시,"Triangular(min=176.350, mode=224.000, max=254.494)",0.053863,0.616928,191,성공
206,신당,승차,04시-05시,"Triangular(min=115.496, mode=168.000, max=190.609)",0.038444,0.92329,196,성공
207,상왕십리,승차,05시-06시,"Triangular(min=190.544, mode=228.000, max=253.920)",0.035336,0.964119,191,성공
